Time,Energy (Wh)
01/02/2021 04:00,"0"
01/02/2021 09:00,"0"
01/02/2021 10:00,"0"
01/02/2021 11:00,"0"
01/02/2021 12:00,"10"
01/02/2021 13:00,"55"
01/02/2021 14:00,"12"
01/02/2021 15:00,"0"
01/02/2021 16:00,"0"
01/03/2021 00:00,"0"
01/03/2021 08:00,"0"
01/03/2021 09:00,"0"
01/03/2021 10:00,"52"
01/03/2021 11:00,"117"
01/03/2021 12:00,"196"
01/03/2021 13:00,"401"
01/03/2021 14:00,"415"
01/03/2021 15:00,"275"
01/03/2021 16:00,"36"
01/03/2021 20:00,"0"
01/04/2021 06:00,"0"
01/04/2021 07:00,"0"
01/04/2021 08:00,"3"
01/04/2021 09:00,"39"
01/04/2021 10:00,"308"
01/04/2021 11:00,"1233"
01/04/2021 12:00,"2145"
01/04/2021 13:00,"2684"
01/04/2021 14:00,"2050"
01/04/2021 15:00,"1192"
01/04/2021 16:00,"168"
01/05/2021 02:00,"0"
01/05/2021 07:00,"0"
01/05/2021 08:00,"157"
01/05/2021 09:00,"737"
01/05/2021 10:00,"2417"
01/05/2021 11:00,"3589"
01/05/2021 12:00,"4510"
01/05/2021 13:00,"2670"
01/05/2021 14:00,"1402"
01/05/2021 15:00,"543"
01/05/2021 16:00,"64"
01/05/2021 22:00,"0"
01/06/2021 07:00,"0"
01/06/2021 08:00,"161"
01/06/2021 09:00,"1026"
01/06/2021 10:00,"1701"
01/06/2021 11:00,"2299"
01/06/2021 12:00,"1620"
01/06/2021 13:00,"2529"
01/06/2021 14:00,"2565"
01/06/2021 15:00,"1113"
01/06/2021 16:00,"191"
01/07/2021 04:00,"0"
01/07/2021 08:00,"33"
01/07/2021 09:00,"182"
01/07/2021 10:00,"421"
01/07/2021 11:00,"490"
01/07/2021 12:00,"532"
01/07/2021 13:00,"404"
01/07/2021 14:00,"346"
01/07/2021 15:00,"150"
01/07/2021 16:00,"4"
01/08/2021 00:00,"0"
01/08/2021 08:00,"14"
01/08/2021 09:00,"115"
01/08/2021 10:00,"345"
01/08/2021 11:00,"450"
01/08/2021 12:00,"548"
01/08/2021 13:00,"541"
01/08/2021 14:00,"536"
01/08/2021 15:00,"213"
01/08/2021 16:00,"41"
01/08/2021 20:00,"0"
01/09/2021 06:00,"0"
01/09/2021 08:00,"39"
01/09/2021 09:00,"339"
01/09/2021 10:00,"1441"
01/09/2021 11:00,"2121"
01/09/2021 12:00,"1793"
01/09/2021 13:00,"3274"
01/09/2021 14:00,"1636"
01/09/2021 15:00,"392"
01/09/2021 16:00,"61"
01/10/2021 02:00,"0"
01/10/2021 08:00,"37"
01/10/2021 09:00,"269"
01/10/2021 10:00,"514"
01/10/2021 11:00,"742"
01/10/2021 12:00,"788"
01/10/2021 13:00,"778"
01/10/2021 14:00,"761"
01/10/2021 15:00,"593"
01/10/2021 16:00,"114"
