Time,month,day,hour,Energy (Wh),temp,feels_like,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description
2019-03-22 07:00:00,3,22,7,124,37.22,37.22,1019,71,1.01,350,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 08:00:00,3,22,8,1437,35.92,35.92,1020,72,1.01,344,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 09:00:00,3,22,9,2602,34.81,31.32,1020,74,4.0,55,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 10:00:00,3,22,10,4759,33.33,30.83,1020,77,3.0,31,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 11:00:00,3,22,11,6529,31.68,31.68,1021,79,1.01,5,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 12:00:00,3,22,12,7300,31.05,31.05,1022,80,1.01,348,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 13:00:00,3,22,13,7605,32.04,29.35,1023,80,3.0,311,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 14:00:00,3,22,14,7149,36.1,36.1,1023,73,1.99,357,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 15:00:00,3,22,15,6581,39.07,35.38,1023,66,5.01,44,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 16:00:00,3,22,16,5381,41.68,39.25,1023,58,4.0,336,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 17:00:00,3,22,17,3072,44.65,44.65,1024,52,1.99,345,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 18:00:00,3,22,18,967,46.08,46.08,1023,46,1.01,9,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-22 19:00:00,3,22,19,25,47.48,46.83,1023,41,3.0,319,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 07:00:00,3,23,7,107,29.84,29.84,1024,74,1.01,136,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 08:00:00,3,23,8,1438,28.78,28.78,1024,76,1.01,142,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 09:00:00,3,23,9,2579,27.82,27.82,1023,79,1.01,124,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 10:00:00,3,23,10,4933,27.3,27.3,1023,80,1.99,135,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 11:00:00,3,23,11,6633,27.88,24.66,1024,78,3.0,146,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 12:00:00,3,23,12,7621,27.0,27.0,1024,80,1.99,130,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 13:00:00,3,23,13,7703,27.97,24.76,1024,81,3.0,136,0.0,0.0,0.0,0.0,1,741,Fog,fog
2019-03-23 14:00:00,3,23,14,7082,34.47,34.47,1024,73,1.01,183,0.0,0.0,0.0,0.0,1,741,Fog,fog
2019-03-23 15:00:00,3,23,15,6027,40.39,38.8,1023,60,3.0,214,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 16:00:00,3,23,16,4365,44.44,41.68,1023,52,5.01,261,0.25,0.0,0.0,0.0,1,500,Rain,light rain
2019-03-23 17:00:00,3,23,17,2733,47.3,47.3,1023,46,1.99,261,0.0,0.0,0.0,0.0,1,800,Clear,sky is clear
2019-03-23 18:00:00,3,23,18,666,49.55,49.17,1022,43,3.0,248,0.0,0.0,0.0,0.0,40,802,Clouds,scattered clouds
2019-03-23 19:00:00,3,23,19,37,51.58,48.33,1022,40,1.99,316,0.0,0.0,0.0,0.0,40,802,Clouds,scattered clouds
2019-03-24 07:00:00,3,24,7,34,38.37,34.88,1019,82,4.61,110,0.0,0.0,0.0,0.0,90,804,Clouds,overcast clouds
