Time,Energy (Wh)
01/02/2020 08:00,"1"
01/02/2020 09:00,"68"
01/02/2020 10:00,"162"
01/02/2020 11:00,"285"
01/02/2020 12:00,"187"
01/02/2020 13:00,"366"
01/02/2020 14:00,"375"
01/02/2020 15:00,"114"
01/02/2020 16:00,"2"
01/03/2020 00:00,"0"
01/03/2020 08:00,"14"
01/03/2020 09:00,"145"
01/03/2020 10:00,"378"
01/03/2020 11:00,"510"
01/03/2020 12:00,"406"
01/03/2020 13:00,"318"
01/03/2020 14:00,"284"
01/03/2020 15:00,"163"
01/03/2020 16:00,"3"
01/04/2020 08:00,"42"
01/04/2020 09:00,"499"
01/04/2020 10:00,"1261"
01/04/2020 11:00,"1559"
01/04/2020 12:00,"3394"
01/04/2020 13:00,"3253"
01/04/2020 14:00,"2238"
01/04/2020 15:00,"930"
01/04/2020 16:00,"99"
01/05/2020 00:00,"0"
01/05/2020 08:00,"139"
01/05/2020 09:00,"606"
01/05/2020 10:00,"303"
01/05/2020 11:00,"645"
01/05/2020 12:00,"1922"
01/05/2020 13:00,"3051"
01/05/2020 14:00,"2702"
01/05/2020 15:00,"1426"
01/05/2020 16:00,"174"
01/06/2020 07:00,"2"
01/06/2020 08:00,"224"
01/06/2020 09:00,"902"
01/06/2020 10:00,"2754"
01/06/2020 11:00,"4074"
01/06/2020 12:00,"2591"
01/06/2020 13:00,"2483"
01/06/2020 14:00,"1971"
01/06/2020 15:00,"1105"
01/06/2020 16:00,"138"
01/07/2020 00:00,"0"
01/07/2020 07:00,"2"
01/07/2020 08:00,"352"
01/07/2020 09:00,"655"
01/07/2020 10:00,"680"
01/07/2020 11:00,"1658"
01/07/2020 12:00,"3061"
01/07/2020 13:00,"4560"
01/07/2020 14:00,"3039"
01/07/2020 15:00,"1715"
01/07/2020 16:00,"214"
01/07/2020 17:00,"0"
01/08/2020 07:00,"2"
01/08/2020 08:00,"232"
01/08/2020 09:00,"817"
01/08/2020 10:00,"2442"
01/08/2020 11:00,"1465"
01/08/2020 12:00,"1034"
01/08/2020 13:00,"942"
01/08/2020 14:00,"703"
01/08/2020 15:00,"461"
01/08/2020 16:00,"63"
01/09/2020 00:00,"0"
01/09/2020 07:00,"0"
01/09/2020 08:00,"156"
01/09/2020 09:00,"469"
01/09/2020 10:00,"447"
01/09/2020 11:00,"590"
01/09/2020 12:00,"894"
01/09/2020 13:00,"521"
01/09/2020 14:00,"607"
01/09/2020 15:00,"1171"
01/09/2020 16:00,"144"
01/10/2020 07:00,"3"
01/10/2020 08:00,"283"
01/10/2020 09:00,"874"
01/10/2020 10:00,"2466"
01/10/2020 11:00,"4281"
01/10/2020 12:00,"2309"
01/10/2020 13:00,"1731"
01/10/2020 14:00,"1590"
01/10/2020 15:00,"586"
01/10/2020 16:00,"68"
01/11/2020 00:00,"0"
01/11/2020 07:00,"0"
01/11/2020 08:00,"205"
01/11/2020 09:00,"998"
01/11/2020 10:00,"2788"
01/11/2020 11:00,"4603"
01/11/2020 12:00,"5804"
01/11/2020 13:00,"4884"
01/11/2020 14:00,"3385"
01/11/2020 15:00,"2008"
01/11/2020 16:00,"306"
01/11/2020 17:00,"0"
01/12/2020 07:00,"3"
01/12/2020 08:00,"399"
01/12/2020 09:00,"864"
01/12/2020 10:00,"2022"
01/12/2020 11:00,"1131"
01/12/2020 12:00,"1549"
01/12/2020 13:00,"1877"
01/12/2020 14:00,"949"
01/12/2020 15:00,"350"
01/12/2020 16:00,"32"
01/13/2020 00:00,"0"
01/13/2020 08:00,"6"
01/13/2020 09:00,"70"
01/13/2020 10:00,"135"
