Time,Energy (Wh)
03/22/2019 07:00,"124"
03/22/2019 08:00,"1437"
03/22/2019 09:00,"2602"
03/22/2019 10:00,"4759"
03/22/2019 11:00,"6529"
03/22/2019 12:00,"7300"
03/22/2019 13:00,"7605"
03/22/2019 14:00,"7149"
03/22/2019 15:00,"6581"
03/22/2019 16:00,"5381"
03/22/2019 17:00,"3072"
03/22/2019 18:00,"967"
03/22/2019 19:00,"25"
03/23/2019 07:00,"107"
03/23/2019 08:00,"1438"
03/23/2019 09:00,"2579"
03/23/2019 10:00,"4933"
03/23/2019 11:00,"6633"
03/23/2019 12:00,"7621"
03/23/2019 13:00,"7703"
03/23/2019 14:00,"7082"
03/23/2019 15:00,"6027"
03/23/2019 16:00,"4365"
03/23/2019 17:00,"2733"
03/23/2019 18:00,"666"
03/23/2019 19:00,"37"
03/24/2019 07:00,"34"
03/24/2019 08:00,"524"
03/24/2019 09:00,"1091"
03/24/2019 10:00,"1827"
03/24/2019 11:00,"5093"
03/24/2019 12:00,"6348"
03/24/2019 13:00,"5990"
03/24/2019 14:00,"6322"
03/24/2019 15:00,"3019"
03/24/2019 16:00,"3097"
03/24/2019 17:00,"1279"
03/24/2019 18:00,"566"
03/24/2019 19:00,"24"
03/25/2019 07:00,"119"
03/25/2019 08:00,"1022"
03/25/2019 09:00,"2296"
03/25/2019 10:00,"4547"
03/25/2019 11:00,"6910"
03/25/2019 12:00,"7410"
03/25/2019 13:00,"7438"
03/25/2019 14:00,"6508"
03/25/2019 15:00,"6370"
03/25/2019 16:00,"5275"
03/25/2019 17:00,"2836"
03/25/2019 18:00,"813"
03/25/2019 19:00,"20"
03/26/2019 07:00,"157"
03/26/2019 08:00,"1105"
03/26/2019 09:00,"2756"
03/26/2019 10:00,"4129"
03/26/2019 11:00,"4834"
03/26/2019 12:00,"7533"
03/26/2019 13:00,"7764"
03/26/2019 14:00,"7228"
03/26/2019 15:00,"6570"
03/26/2019 16:00,"4634"
03/26/2019 17:00,"1406"
03/26/2019 18:00,"426"
03/26/2019 19:00,"4"
03/27/2019 07:00,"115"
03/27/2019 08:00,"846"
03/27/2019 09:00,"2446"
03/27/2019 10:00,"3851"
03/27/2019 11:00,"5501"
03/27/2019 12:00,"6084"
03/27/2019 13:00,"2933"
03/27/2019 14:00,"2704"
03/27/2019 15:00,"4784"
03/27/2019 16:00,"3286"
03/27/2019 17:00,"1419"
03/27/2019 18:00,"762"
03/27/2019 19:00,"31"
03/28/2019 07:00,"170"
03/28/2019 08:00,"1393"
03/28/2019 09:00,"1397"
03/28/2019 10:00,"1868"
03/28/2019 11:00,"3957"
03/28/2019 12:00,"5026"
03/28/2019 13:00,"5210"
03/28/2019 14:00,"5157"
03/28/2019 15:00,"3334"
03/28/2019 16:00,"3593"
03/28/2019 17:00,"2476"
03/28/2019 18:00,"1077"
03/28/2019 19:00,"48"
03/29/2019 06:00,"0"
03/29/2019 07:00,"182"
03/29/2019 08:00,"1119"
03/29/2019 09:00,"3025"
03/29/2019 10:00,"5125"
03/29/2019 11:00,"6317"
03/29/2019 12:00,"7202"
03/29/2019 13:00,"7569"
03/29/2019 14:00,"6791"
03/29/2019 15:00,"5883"
03/29/2019 16:00,"5361"
03/29/2019 17:00,"3216"
03/29/2019 18:00,"1147"
03/29/2019 19:00,"43"
03/30/2019 07:00,"92"
03/30/2019 08:00,"1465"
03/30/2019 09:00,"3160"
03/30/2019 10:00,"5436"
03/30/2019 11:00,"7181"
03/30/2019 12:00,"7815"
03/30/2019 13:00,"7814"
03/30/2019 14:00,"7772"
03/30/2019 15:00,"6958"
03/30/2019 16:00,"5724"
03/30/2019 17:00,"3316"
03/30/2019 18:00,"1056"
03/30/2019 19:00,"63"
03/31/2019 06:00,"0"
03/31/2019 07:00,"211"
03/31/2019 08:00,"1735"
03/31/2019 09:00,"3170"
03/31/2019 10:00,"5240"
03/31/2019 11:00,"6813"
03/31/2019 12:00,"7408"
03/31/2019 13:00,"6312"
03/31/2019 14:00,"4450"
