Time,year,month,day,hour,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,WD10M,Energy (Wh)
2020-09-01 06:00:00,2020,9,1,6,46.21,0.22,0.15,81.06,19.95,2.57,0.01,0.05,12.11,77.25,97.98,218.33,0
2020-09-01 07:00:00,2020,9,1,7,163.04,0.38,0.15,70.91,68.5,8.83,0.08,0.38,13.3,71.88,98.04,210.81,213
2020-09-01 08:00:00,2020,9,1,8,284.9,0.44,0.16,60.56,124.4,16.55,0.25,1.23,14.3,68.19,98.03,201.18,622
2020-09-01 09:00:00,2020,9,1,9,393.73,0.47,0.12,51.03,171.62,22.79,0.46,2.3,15.26,66.0,98.02,195.21,1104
2020-09-01 10:00:00,2020,9,1,10,476.48,0.49,0.14,43.1,212.4,29.03,0.7,3.52,17.13,61.12,97.94,188.93,2455
2020-09-01 11:00:00,2020,9,1,11,590.21,0.56,0.16,37.98,267.38,36.71,0.95,4.85,20.63,46.19,97.87,187.98,3489
2020-09-01 12:00:00,2020,9,1,12,367.99,0.34,0.16,36.96,172.12,24.78,0.66,3.38,22.0,41.5,97.78,182.79,4087
2020-09-01 13:00:00,2020,9,1,13,379.67,0.38,0.16,40.36,177.77,25.35,0.66,3.35,22.44,41.5,97.69,180.23,1696
2020-09-01 14:00:00,2020,9,1,14,311.01,0.34,0.16,47.19,145.12,20.93,0.48,2.45,22.54,42.62,97.58,181.88,1711
2020-09-01 15:00:00,2020,9,1,15,365.95,0.49,0.16,56.12,162.15,21.68,0.38,1.9,22.38,44.31,97.48,188.34,1725
2020-09-01 16:00:00,2020,9,1,16,275.11,0.51,0.16,66.2,120.02,14.51,0.16,0.8,21.75,47.19,97.44,196.66,1658
2020-09-01 17:00:00,2020,9,1,17,170.63,0.55,0.17,76.77,71.5,7.65,0.03,0.17,20.37,54.38,97.41,200.18,1809
2020-09-01 18:00:00,2020,9,1,18,21.69,0.32,0.13,87.07,6.88,0.91,0.0,0.02,17.9,65.06,97.38,195.38,1157
2020-09-01 19:00:00,2020,9,1,19,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,16.64,70.19,97.36,193.83,56
2020-09-02 01:00:00,2020,9,2,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,12.93,87.5,97.27,262.6,0
2020-09-02 06:00:00,2020,9,2,6,114.05,0.56,0.19,81.32,47.3,4.63,0.02,0.08,12.8,78.69,97.45,276.52,2
2020-09-02 07:00:00,2020,9,2,7,301.76,0.7,0.19,71.11,129.83,13.98,0.11,0.52,15.53,68.12,97.52,280.53,212
2020-09-02 08:00:00,2020,9,2,8,488.3,0.75,0.17,60.78,214.12,25.62,0.35,1.8,18.74,58.5,97.6,280.52,572
2020-09-02 09:00:00,2020,9,2,9,647.21,0.77,0.16,51.27,286.15,36.16,0.7,3.4,21.26,50.56,97.68,282.03,558
2020-09-02 10:00:00,2020,9,2,10,762.09,0.78,0.16,43.39,339.52,44.24,1.02,5.02,22.96,45.25,97.73,282.93,1995
2020-09-02 11:00:00,2020,9,2,11,826.03,0.79,0.16,38.32,370.27,48.95,1.23,6.12,24.05,41.0,97.73,284.84,3315
