Time,year,month,day,hour,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,WD10M,Energy (Wh)
8/27/2020 1:00,2020,8,27,1,0,-999,-999,90,0,0,0,0,22.37,89.44,97.63,305.39,0
8/27/2020 6:00,2020,8,27,6,87.82,0.4,0.19,80.57,37.85,4.38,0.02,0.1,20.31,91.75,97.77,42.01,5
8/27/2020 7:00,2020,8,27,7,242.01,0.53,0.16,69.93,107.55,12.29,0.14,0.67,22.12,82.69,97.78,52.52,279
8/27/2020 8:00,2020,8,27,8,318.25,0.47,0.16,59.52,145.6,18.31,0.34,1.67,24.51,72.88,97.79,59.67,531
8/27/2020 9:00,2020,8,27,9,440.45,0.52,0.16,49.84,203.73,26.8,0.66,3.4,26.44,66.5,97.8,53.83,765
8/27/2020 10:00,2020,8,27,10,584.02,0.59,0.16,41.7,270.75,35.69,1.01,5.4,27.63,62.56,97.81,43.16,1684
8/27/2020 11:00,2020,8,27,11,704.58,0.66,0.16,36.33,327.9,43.05,1.3,6.77,28.38,59.62,97.81,36.09,3704
8/27/2020 12:00,2020,8,27,12,718.49,0.66,0.16,35.15,333.17,44.02,1.34,7,28.8,57.25,97.8,33.59,4986
8/27/2020 13:00,2020,8,27,13,674.63,0.65,0.16,38.55,314.1,41.09,1.21,6.38,28.98,55.25,97.77,35.45,5309
8/27/2020 14:00,2020,8,27,14,590.2,0.63,0.16,45.48,271.2,34.48,0.89,4.55,28.9,53.88,97.72,40.01,5260
8/27/2020 15:00,2020,8,27,15,471.89,0.61,0.15,54.52,214.85,26.41,0.55,2.75,28.71,53.31,97.69,44.81,4754
8/27/2020 16:00,2020,8,27,16,322.6,0.56,0.14,64.65,143.62,16.72,0.25,1.23,28.3,53.94,97.69,45.22,3871
8/27/2020 17:00,2020,8,27,17,157.69,0.46,0.18,75.24,67.9,7.81,0.06,0.3,27.15,60,97.69,48.56,2617
8/27/2020 18:00,2020,8,27,18,30.28,0.31,0.16,85.82,11.6,1.47,0.01,0.02,24.06,74,97.68,62.42,1015
8/27/2020 19:00,2020,8,27,19,0,-999,-999,90,0,0,0,0,22.33,72.88,97.69,75.67,83
