-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/31/2021 
Location: Latitude  44.9591   Longitude -93.2878 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 273.48 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
SZA                     CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,WD10M
2021,1,1,0,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-8.75,99.06,99.01,170.45
2021,1,1,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-9.1,99.12,99.02,171.7
2021,1,1,2,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-9.29,98.69,99.02,173.04
2021,1,1,3,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-9.35,98.06,99.01,175.7
2021,1,1,4,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-9.56,97.75,98.99,176.77
2021,1,1,5,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-9.91,97.69,98.95,178.8
2021,1,1,6,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.35,97.88,98.89,183.57
2021,1,1,7,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.88,98.31,98.83,184.14
2021,1,1,8,31.29,0.27,0.2,85.16,11.8,1.55,0.01,0.02,-10.85,97.81,98.76,189.19
2021,1,1,9,101.4,0.34,0.21,77.64,44.7,6.23,0.03,0.12,-9.65,95.31,98.74,190.9
2021,1,1,10,161.59,0.37,0.21,71.9,72.3,10.05,0.08,0.38,-8.75,93.0,98.72,156.94
2021,1,1,11,290.59,0.56,0.48,68.43,131.77,17.65,0.17,0.88,-7.75,91.0,98.68,135.24
2021,1,1,12,319.27,0.59,0.48,67.6,142.83,19.54,0.2,1.02,-6.45,87.38,98.63,106.39
