dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1551398400,2019-03-01 00:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.45,15.13,17.46,20.39,1021,,,59,3,276,,,,,40,802,Clouds,scattered clouds,03n
1551402000,2019-03-01 01:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,17.46,9.99,14.45,19.47,1021,,,63,5.01,277,,,,,20,801,Clouds,few clouds,02n
1551405600,2019-03-01 02:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,15.55,6.64,10.63,18.19,1021,,,67,5.99,300,,,,,20,801,Clouds,few clouds,02n
1551409200,2019-03-01 03:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,13.93,4.71,10.45,17.08,1021,,,73,5.99,310,,,,,1,800,Clear,sky is clear,01n
1551412800,2019-03-01 04:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,13.26,6.42,6.31,16,1021,,,77,4,285,,,,,1,800,Clear,sky is clear,01n
1551416400,2019-03-01 05:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,12.15,5.14,7.5,14.22,1021,,,82,4,286,,,,,1,800,Clear,sky is clear,01n
1551420000,2019-03-01 06:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,10.78,5.32,4.24,13.15,1021,,,83,3,211,,,,,1,800,Clear,sky is clear,01n
1551423600,2019-03-01 07:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,9.79,9.79,3.25,12.38,1021,,,85,0,0,,,,,40,802,Clouds,scattered clouds,03n
1551427200,2019-03-01 08:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,8.53,8.53,3.25,11.48,1021,,,85,1.01,221,,,,,1,701,Mist,mist,50n
1551430800,2019-03-01 09:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,7.61,7.61,2.5,11.48,1021,,,85,1.01,196,,,,,75,721,Haze,haze,50n
1551434400,2019-03-01 10:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,6.78,6.78,1.24,10.49,1021,,,87,1.01,188,,,,,20,701,Mist,mist,50n
1551438000,2019-03-01 11:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,6.4,-2.43,1.26,10.18,1021,,,86,4.61,200,,,,,20,701,Mist,mist,50n
1551441600,2019-03-01 12:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,5.95,-2.96,-0.17,9.48,1021,,,86,4.61,110,,,,,40,701,Mist,mist,50n
1551445200,2019-03-01 13:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,5.63,5.63,1.4,8.38,1021,,,86,1.01,88,,,,,75,701,Mist,mist,50d
1551448800,2019-03-01 14:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,9.1,9.1,5.5,11.17,1021,,,87,1.01,157,,,,,90,701,Mist,mist,50d
1551452400,2019-03-01 15:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,11.89,11.89,9.61,14.18,1021,,,86,1.99,130,,,,,90,701,Mist,mist,50d
1551456000,2019-03-01 16:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,14.86,14.86,12.43,17.38,1022,,,85,1.01,257,,,,,90,701,Mist,mist,50d
1551459600,2019-03-01 17:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,16.66,16.66,14.38,19.35,1022,,,83,1.01,160,,,0.2,,90,600,Snow,light snow,13d
1551459600,2019-03-01 17:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,16.66,16.66,14.38,19.35,1022,,,83,1.01,160,,,0.2,,90,701,Mist,mist,50d
1551463200,2019-03-01 18:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,17.37,17.37,15.31,20.37,1022,,,85,1.01,149,,,0.76,,90,601,Snow,snow,13d
1551463200,2019-03-01 18:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,17.37,17.37,15.31,20.37,1022,,,85,1.01,149,,,0.76,,90,741,Fog,fog,50d
1551466800,2019-03-01 19:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,18.3,18.3,16.14,21.11,1021,,,84,1.99,195,,,0.2,,90,600,Snow,light snow,13d
1551466800,2019-03-01 19:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,18.3,18.3,16.14,21.11,1021,,,84,1.99,195,,,0.2,,90,701,Mist,mist,50d
1551470400,2019-03-01 20:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,18.54,12.52,16.77,21.11,1020,,,84,4,138,,,0.8,,90,601,Snow,snow,13d
1551474000,2019-03-01 21:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.13,19.13,17.22,22.1,1020,,,85,1.01,200,,,0.51,2.3,90,601,Snow,snow,13d
1551474000,2019-03-01 21:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.13,19.13,17.22,22.1,1020,,,85,1.01,200,,,0.51,2.3,90,701,Mist,mist,50d
1551477600,2019-03-01 22:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.27,19.27,17.67,22.1,1020,,,84,1.01,80,,,0.63,,90,601,Snow,snow,13d
1551477600,2019-03-01 22:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.27,19.27,17.67,22.1,1020,,,84,1.01,80,,,0.63,,90,701,Mist,mist,50d
1551481200,2019-03-01 23:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.31,19.31,17.22,22.1,1021,,,86,0,0,,,0.36,,90,601,Snow,snow,13d
1551481200,2019-03-01 23:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,19.31,19.31,17.22,22.1,1021,,,86,0,0,,,0.36,,90,741,Fog,fog,50d
1551484800,2019-03-02 00:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,18.73,18.73,17.13,21.11,1022,,,87,1.01,107,,,0.42,,90,600,Snow,light snow,13n
1551484800,2019-03-02 00:00:00 +0000 UTC,-21600,Minnehaha Falls,44.915331,-93.211001,18.73,18.73,17.13,21.11,1022,,,87,1.01,107,,,0.42,,90,701,Mist,mist,50n
