Time,year,month,day,hour,ALLSKY_SFC_SW_DWN,T2M,RH2M
1/2/20 8:00,2020,1,2,8,57.26,-2.81,94.06
1/2/20 9:00,2020,1,2,9,64.55,-1.74,93.88
1/2/20 10:00,2020,1,2,10,121.53,-0.49,94
1/2/20 11:00,2020,1,2,11,170.49,0.45,93.38
1/2/20 12:00,2020,1,2,12,206.89,0.57,92.69
1/2/20 13:00,2020,1,2,13,182.66,0.43,88.44
1/2/20 14:00,2020,1,2,14,161.91,0.08,84.5
1/2/20 15:00,2020,1,2,15,36.87,-0.73,86.19
1/2/20 16:00,2020,1,2,16,14.3,-3.14,91.25
1/3/20 0:00,2020,1,3,0,0,-6.2,98.06
1/3/20 8:00,2020,1,3,8,48.84,-4.58,78.56
1/3/20 9:00,2020,1,3,9,106.18,-3.71,76.19
1/3/20 10:00,2020,1,3,10,184.01,-2.68,81.25
1/3/20 11:00,2020,1,3,11,232.61,-2.13,85.25
1/3/20 12:00,2020,1,3,12,243.22,-1.62,88.62
1/3/20 13:00,2020,1,3,13,214.52,-1.77,90.12
1/3/20 14:00,2020,1,3,14,150.28,-2.37,90.5
1/3/20 15:00,2020,1,3,15,94.41,-3.42,92.06
1/3/20 16:00,2020,1,3,16,16.43,-4.82,93.31
1/4/20 8:00,2020,1,4,8,58.91,-11.97,99.75
1/4/20 9:00,2020,1,4,9,141.24,-9.12,96.25
1/4/20 10:00,2020,1,4,10,262.98,-6.29,91.88
1/4/20 11:00,2020,1,4,11,374.12,-4.77,92.38
1/4/20 12:00,2020,1,4,12,414.87,-3.05,87.75
1/4/20 13:00,2020,1,4,13,372.18,-2.45,86.62
1/4/20 14:00,2020,1,4,14,284.86,-2.34,88.06
1/4/20 15:00,2020,1,4,15,138.64,-3.12,92.81
1/4/20 16:00,2020,1,4,16,21.39,-5.48,95.44
1/5/20 0:00,2020,1,5,0,0,-5.17,95.19
1/5/20 8:00,2020,1,5,8,48.38,-3.86,95.31
1/5/20 9:00,2020,1,5,9,107.28,-2.01,93.94
1/5/20 10:00,2020,1,5,10,151.75,-0.12,91.75
1/5/20 11:00,2020,1,5,11,228.4,0.37,92
1/5/20 12:00,2020,1,5,12,360.44,0.34,88.06
1/5/20 13:00,2020,1,5,13,383.37,0.2,87.69
1/5/20 14:00,2020,1,5,14,287.76,0.01,87.38
1/5/20 15:00,2020,1,5,15,158.44,-0.92,87.5
1/5/20 16:00,2020,1,5,16,28.66,-2.15,89.69
1/6/20 7:00,2020,1,6,7,0,-12.77,100
1/6/20 8:00,2020,1,6,8,61.34,-12.77,99.5
1/6/20 9:00,2020,1,6,9,202.2,-10.54,96.25
1/6/20 10:00,2020,1,6,10,302.47,-7.56,92.06
1/6/20 11:00,2020,1,6,11,361.52,-5.36,91.19
1/6/20 12:00,2020,1,6,12,347.83,-3.18,90.06
1/6/20 13:00,2020,1,6,13,299.39,-1.45,88.31
1/6/20 14:00,2020,1,6,14,217.56,-0.5,89.56
1/6/20 15:00,2020,1,6,15,105.13,-0.49,90.94
1/6/20 16:00,2020,1,6,16,22.33,-0.85,91.81
1/7/20 0:00,2020,1,7,0,0,-3.9,96.94
1/7/20 7:00,2020,1,7,7,0,-11.78,98.12
